Scenario,Condition,Seed,Group,N_rows,N_success,MeanWait,MedianWait,P95Wait,Gini,TargetRequestedN,TargetSuccessN,TargetFailedN,TargetComplete10
Festival,Poisson,63,Background,43,40,130.0,107.5,275.29999999999995,0.3148942307692308,10,10,0,1
Festival,Poisson,63,Total,53,50,129.62,109.0,271.4,0.31226353957722575,10,10,0,1
Festival,Poisson,64,Target,10,10,294.3,263.0,508.59999999999997,0.318008834522596,10,10,0,1
Festival,Poisson,64,Background,32,32,138.03125,125.0,256.25,0.35328701607425855,10,10,0,1
Festival,Poisson,64,Total,42,42,175.23809523809524,139.0,489.4999999999999,0.403713768115942,10,10,0,1
Festival,Poisson,65,Target,10,10,102.9,75.0,238.44999999999993,0.3726919339164237,10,10,0,1
Festival,Poisson,65,Background,50,42,121.42857142857143,95.0,235.85,0.33436041083099904,10,10,0,1
Festival,Poisson,65,Total,60,52,117.86538461538461,90.0,253.09999999999985,0.3439982680070786,10,10,0,1
Festival,Poisson,66,Target,10,10,214.4,200.0,391.99999999999983,0.2894589552238806,10,10,0,1
Festival,Poisson,66,Background,41,40,182.025,130.0,540.4999999999999,0.4093428100535641,10,10,0,1
Festival,Poisson,66,Total,51,50,188.5,137.0,524.5999999999999,0.3924816976127321,10,10,0,1
Festival,Poisson,67,Target,10,10,126.3,132.5,190.5,0.23238321456848773,10,10,0,1
Festival,Poisson,67,Background,39,37,123.91891891891892,115.0,197.99999999999994,0.30498983170738897,10,10,0,1
Festival,Poisson,67,Total,49,47,124.42553191489361,125.0,195.0,0.29268416916494455,10,10,0,1
Festival,Poisson,68,Target,10,10,64.4,62.5,102.14999999999999,0.20124223602484473,10,10,0,1
Festival,Poisson,68,Background,42,41,141.58536585365854,125.0,275.0,0.36229490977080314,10,10,0,1
Festival,Poisson,68,Total,52,51,126.45098039215686,95.0,274.0,0.37746542251572673,10,10,0,1
Festival,Poisson,69,Target,10,10,111.7,108.5,182.75,0.2713518352730528,10,10,0,1
Festival,Poisson,69,Background,44,40,183.275,155.0,498.2,0.35934047196835356,10,10,0,1
Festival,Poisson,69,Total,54,50,168.96,151.5,480.89999999999986,0.35946022727272725,10,10,0,1
Festival,Poisson,70,Target,10,10,157.7,111.0,296.59999999999997,0.31902346227013323,10,10,0,1
Festival,Poisson,70,Background,42,39,179.97435897435898,135.0,411.50000000000017,0.38685472764401385,10,10,0,1
Festival,Poisson,70,Total,52,49,175.42857142857142,135.0,396.59999999999997,0.377541523822186,10,10,0,1
Festival,Poisson,71,Target,10,10,108.6,105.0,182.29999999999995,0.24419889502762432,10,10,0,1
Festival,Poisson,71,Background,39,36,116.19444444444444,110.0,205.0,0.28057348527107073,10,10,0,1
Festival,Poisson,71,Total,49,46,114.54347826086956,110.0,198.5,0.2750253740087633,10,10,0,1
Festival,Poisson,72,Target,10,10,163.7,102.0,348.3499999999999,0.3828344532681735,10,10,0,1
Festival,Poisson,72,Background,40,40,144.275,115.0,319.2499999999995,0.3750519840582221,10,10,0,1
