Scenario,Condition,Seed,VehicleRecords,MaxOccupancy,MeanOccupancy,LastTimestamp
Holiday,Poisson,84,1345,9.0,2.1784386617100373,3598.0
Holiday,Poisson,85,1238,9.0,2.355411954765751,3598.0
Holiday,Poisson,86,1190,9.0,2.477310924369748,3599.0
Holiday,Poisson,87,1082,8.0,2.4621072088724585,3593.0
Holiday,Poisson,88,999,9.0,2.3763763763763763,3597.0
Holiday,Poisson,89,1136,9.0,2.425176056338028,3597.0
Holiday,Poisson,90,1285,8.0,2.192217898832685,3599.0
Holiday,Poisson,91,1217,9.0,2.6187345932621198,3599.0
Holiday,Poisson,92,1355,7.0,2.4708487084870847,3595.0
Holiday,Poisson,93,1490,8.0,2.164429530201342,3596.0
Holiday,Poisson,94,1097,7.0,1.9808568824065633,3598.0
Holiday,Poisson,95,1148,6.0,1.9695121951219512,3598.0
Holiday,Poisson,96,1080,8.0,2.0407407407407407,3593.0
Holiday,Poisson,97,1147,7.0,1.7837837837837838,3599.0
Holiday,Poisson,98,1017,8.0,2.2782694198623403,3598.0
Holiday,Poisson,99,1146,7.0,2.3394415357766145,3591.0
Holiday,Poisson,100,1361,8.0,2.1601763409257897,3598.0
Holiday,Synchronized,1,1203,8.0,2.493765586034913,3593.0
Holiday,Synchronized,2,1019,8.0,1.9911678115799805,3599.0
Holiday,Synchronized,3,752,6.0,1.699468085106383,3597.0
Holiday,Synchronized,4,895,7.0,2.164245810055866,3593.0
Holiday,Synchronized,5,1166,8.0,1.7590051457975986,3595.0
Holiday,Synchronized,6,1197,9.0,2.5588972431077694,3597.0
Holiday,Synchronized,7,1219,8.0,2.0270713699753897,3599.0
Holiday,Synchronized,8,849,9.0,2.0094228504122498,3593.0
Holiday,Synchronized,9,1116,9.0,2.338709677419355,3598.0
Holiday,Synchronized,10,1071,8.0,2.0802987861811393,3595.0
Holiday,Synchronized,11,963,8.0,1.9968847352024923,3599.0
Holiday,Synchronized,12,989,8.0,2.021233569261881,3599.0
Holiday,Synchronized,13,1211,6.0,1.8769611890999174,3597.0
Holiday,Synchronized,14,1033,9.0,2.291384317521781,3594.0
Holiday,Synchronized,15,1160,8.0,2.3,3598.0
Holiday,Synchronized,16,1167,9.0,2.2065124250214225,3598.0
Holiday,Synchronized,17,1200,8.0,2.345,3594.0
Holiday,Synchronized,18,1180,9.0,2.6152542372881356,3599.0
Holiday,Synchronized,19,1180,9.0,1.9864406779661017,3596.0
Holiday,Synchronized,20,1120,9.0,2.2401785714285714,3598.0
Holiday,Synchronized,21,1294,7.0,2.462132921174652,3595.0
Holiday,Synchronized,22,1590,9.0,2.362893081761006,3598.0
Holiday,Synchronized,23,1182,9.0,1.8434856175972927,3597.0
Holiday,Synchronized,24,1210,6.0,1.6082644628099174,3590.0
Holiday,Synchronized,25,1277,9.0,2.4205168363351603,3588.0
Holiday,Synchronized,26,1321,9.0,2.8115064345193037,3597.0
Holiday,Synchronized,27,1069,8.0,2.3554724041159965,3434.0
Holiday,Synchronized,28,1162,8.0,1.8003442340791738,3596.0
Holiday,Synchronized,29,882,8.0,2.0215419501133787,3597.0
Holiday,Synchronized,30,1183,7.0,2.1166525781910397,3598.0
