Scenario,Condition,Seed,TotalSuccessN,TargetSuccessN,TotalWaitSum,TargetWaitSum,TargetWaitBurdenShare,TargetSuccessShare,ExcessBurden
Festival,Poisson,96,48,10,6083.0,1043.0,0.1714614499424626,0.20833333333333334,-0.03687188339087075
Festival,Poisson,97,49,10,6470.0,1080.0,0.16692426584234932,0.20408163265306123,-0.03715736681071191
Festival,Poisson,98,43,10,5411.0,1117.0,0.206431343559416,0.23255813953488372,-0.026126795975467715
Festival,Poisson,99,49,10,5429.0,1017.0,0.18732731626450544,0.20408163265306123,-0.01675431638855579
Festival,Poisson,100,60,10,7089.0,801.0,0.11299195937367752,0.16666666666666666,-0.053674707292989135
Festival,Synchronized,1,51,10,9365.0,1220.0,0.13027229044313934,0.19607843137254902,-0.06580614092940967
Festival,Synchronized,2,44,10,6595.0,1680.0,0.25473843821076575,0.22727272727272727,0.027465710938038485
Festival,Synchronized,3,33,10,5181.0,2230.0,0.43041883806215014,0.30303030303030304,0.1273885350318471
Festival,Synchronized,4,38,10,5931.0,1296.0,0.21851289833080426,0.2631578947368421,-0.044644996406037835
Festival,Synchronized,5,47,10,6821.0,1760.0,0.2580266823046474,0.2127659574468085,0.04526072485783891
Festival,Synchronized,6,53,10,11100.0,5530.0,0.4981981981981982,0.18867924528301888,0.30951895291517934
Festival,Synchronized,7,51,10,9198.0,3945.0,0.428897586431833,0.19607843137254902,0.232819155059284
Festival,Synchronized,8,39,10,4455.0,1470.0,0.32996632996632996,0.2564102564102564,0.07355607355607358
Festival,Synchronized,9,49,10,8675.0,2125.0,0.24495677233429394,0.20408163265306123,0.040875139681232714
Festival,Synchronized,10,43,10,7052.0,1243.0,0.1762620533182076,0.23255813953488372,-0.05629608621667612
Festival,Synchronized,11,46,10,7284.0,1640.0,0.22515101592531575,0.21739130434782608,0.00775971157748967
Festival,Synchronized,12,46,10,6575.0,1765.0,0.26844106463878326,0.21739130434782608,0.051049760290957175
Festival,Synchronized,13,47,10,7002.0,1729.0,0.2469294487289346,0.2127659574468085,0.03416349128212609
Festival,Synchronized,14,46,10,5538.0,1320.0,0.23835319609967498,0.21739130434782608,0.0209618917518489
Festival,Synchronized,15,52,10,7509.0,1210.0,0.16113996537488348,0.19230769230769232,-0.031167726932808837
Festival,Synchronized,16,50,10,8279.0,2550.0,0.3080082135523614,0.2,0.1080082135523614
Festival,Synchronized,17,48,10,7004.0,1400.0,0.19988577955454026,0.20833333333333334,-0.008447553778793082
Festival,Synchronized,18,55,10,9687.0,1921.0,0.19830700939403323,0.18181818181818182,0.016488827575851406
Festival,Synchronized,19,49,10,6464.0,1370.0,0.2119430693069307,0.20408163265306123,0.007861436653869458
Festival,Synchronized,20,53,10,8928.0,2785.0,0.3119399641577061,0.18867924528301888,0.1232607188746872
Festival,Synchronized,21,52,10,8059.0,1860.0,0.23079786574016628,0.19230769230769232,0.03849017343247396
Festival,Synchronized,22,57,10,10580.0,1585.0,0.1498109640831758,0.17543859649122806,-0.02562763240805227
Festival,Synchronized,23,48,10,7720.0,2631.0,0.3408031088082902,0.20833333333333334,0.13246977547495684
Festival,Synchronized,24,44,10,7541.0,1825.0,0.2420103434557751,0.22727272727272727,0.014737616183047836
Festival,Synchronized,25,51,10,8257.0,3262.0,0.39505873804045055,0.19607843137254902,0.19898030666790154
Festival,Synchronized,26,49,10,9572.0,2539.0,0.26525282072712075,0.20408163265306123,0.061171188074059524
Festival,Synchronized,27,48,10,9804.0,2878.0,0.29355365157078744,0.20833333333333334,0.0852203182374541
Festival,Synchronized,28,48,10,6067.0,1800.0,0.2966869952200429,0.20833333333333334,0.08835366188670954
Festival,Synchronized,29,42,10,9087.0,4030.0,0.4434907010014306,0.23809523809523808,0.20539546290619254
Festival,Synchronized,30,46,10,6510.0,2240.0,0.34408602150537637,0.21739130434782608,0.1266947171575503
Festival,Synchronized,31,53,10,9453.0,3388.0,0.3584047392362213,0.18867924528301888,0.1697254939532024
Festival,Synchronized,32,53,10,11750.0,2783.0,0.23685106382978724,0.18867924528301888,0.04817181854676836
Festival,Synchronized,33,51,10,8469.0,2955.0,0.34891958908962095,0.19607843137254902,0.15284115771707193
Festival,Synchronized,34,54,10,10650.0,4540.0,0.4262910798122066,0.18518518518518517,0.24110589462702142
Festival,Synchronized,35,44,10,5370.0,1560.0,0.2905027932960894,0.22727272727272727,0.06323006602336215
Festival,Synchronized,36,53,10,8783.0,1889.0,0.21507457588523285,0.18867924528301888,0.026395330602213968
Festival,Synchronized,37,52,10,7714.0,3175.0,0.41158931812289345,0.19230769230769232,0.21928162581520114
Festival,Synchronized,38,48,10,6869.0,1505.0,0.21910030572135683,0.20833333333333334,0.010766972388023488
Festival,Synchronized,39,56,1,8739.0,65.0,0.007437921959034214,0.017857142857142856,-0.010419220898108643
Festival,Synchronized,40,41,10,7498.0,2064.0,0.27527340624166446,0.24390243902439024,0.031370967217274226
