Scenario,Condition,Seed,PassengerID,CallTime,WaitTime,ExpectedWaitTime,IncreasedTime,Success,PassengerGroup
Festival,Poisson,7,33,2007,120.0,109.63919742269168,-10.023577895255016,True,Background
Festival,Poisson,7,34,2137,470.0,136.04857644924638,-26.048576449246383,True,Background
Festival,Poisson,7,35,2162,85.0,50.31636679430488,35.68363320569512,True,Background
Festival,Poisson,7,36,2176,185.0,214.3363070893901,4.66369291060991,True,Background
Festival,Poisson,7,37,2202,55.0,74.14864245888468,352.8513575411153,True,Background
Festival,Poisson,7,38,2298,340.0,230.05999840230425,40.94000159769576,True,Background
Festival,Poisson,7,39,2308,185.0,288.2557256886238,-132.25572568862378,True,Background
Festival,Poisson,7,40,2359,477.0,144.09076173287824,42.90923826712175,True,Background
Festival,Poisson,7,41,2383,170.0,232.1974082025101,-46.317405007118566,True,Background
Festival,Poisson,7,42,2451,115.0,137.18530114279375,13.81469885720628,True,Background
Festival,Poisson,7,43,2464,,,,False,Background
Festival,Poisson,7,44,2592,155.0,226.1484706125876,-30.148470612587545,True,Background
Festival,Poisson,7,45,2815,150.0,129.13866099071046,394.8613390092895,True,Background
Festival,Poisson,7,46,2848,45.0,52.10904985826368,140.8909501417363,True,Background
Festival,Poisson,7,47,2886,195.0,241.11147234346856,-26.111472343468563,True,Background
Festival,Poisson,7,48,2964,95.0,156.13685833721357,-27.136858337213567,True,Background
Festival,Poisson,7,49,3080,175.0,202.3325761830378,-24.332576183037787,True,Background
Festival,Poisson,7,50,3086,135.0,136.19837424120993,28.801625758790067,True,Background
Festival,Poisson,7,51,3183,175.0,251.03610187747137,-25.036101877471367,True,Background
Festival,Poisson,7,52,3328,195.0,275.0672814646874,,True,Background
Festival,Poisson,7,53,3464,,203.18705398723569,,False,Background
Festival,Poisson,7,54,3514,,125.3052480106135,,False,Background
Festival,Poisson,8,1,83,85.0,97.29428417876808,-22.294284178768063,True,Background
Festival,Poisson,8,2,124,115.0,111.24599947929158,24.754000520708416,True,Background
Festival,Poisson,8,3,140,125.0,105.20469691780772,-31.204696917807723,True,Background
Festival,Poisson,8,4,203,115.0,157.04879522485817,-25.048795224858168,True,Background
Festival,Poisson,8,5,218,245.0,299.3262682183794,-65.32626821837943,True,Background
Festival,Poisson,8,6,429,85.0,85.02983022027573,34.97016977972427,True,Background
Festival,Poisson,8,7,479,170.0,122.1722588597296,-51.1722588597296,True,Background
Festival,Poisson,8,8,670,65.0,27.048322452540773,-46.04832245254079,True,Background
Festival,Poisson,8,9,720,65.0,22.2542041692071,1.7457958307929005,True,Background
Festival,Poisson,8,10,806,55.0,65.18284190591052,-8.182841905910522,True,Background
Festival,Poisson,8,11,866,90.0,94.20940452578871,-52.20940452578873,True,Background
Festival,Poisson,8,12,1096,35.0,53.3061088719616,-114.3061088719616,True,Background
Festival,Poisson,8,13,1143,25.0,0.1436082843390639,-39.14360828433905,True,Background
Festival,Poisson,8,14,1217,55.0,73.36534373249334,-14.36534373249333,True,Background
Festival,Poisson,8,15,1230,45.0,10.193767248806438,-10.193767248806438,True,Background
Festival,Poisson,8,16,1285,135.0,156.22389806225448,-60.22389806225448,True,Background
Festival,Poisson,8,17,1351,105.0,77.2364224143283,308.76357758567167,True,Background
Festival,Poisson,8,18,1428,115.0,107.13760177094204,254.862398229058,True,Background
Festival,Poisson,8,22,1583,175.0,129.11624388997367,35.883756110026326,True,Background
Festival,Poisson,8,29,1747,125.0,153.07877702713586,-33.07877702713586,True,Background
Festival,Poisson,8,30,1793,125.0,88.09056041772001,44.90943958227999,True,Background
Festival,Poisson,8,32,2114,65.0,30.116389743860854,-60.11638974386085,True,Background
Festival,Poisson,8,33,2365,125.0,79.30172151978569,6.698278480214313,True,Background
Festival,Poisson,8,34,2394,45.0,50.12210942307184,-52.12210942307184,True,Background
Festival,Poisson,8,35,2414,155.0,136.0441937007434,3.955806299256608,True,Background
Festival,Poisson,8,36,2735,85.0,96.09016459055798,-48.09016459055795,True,Background
Festival,Poisson,8,37,3226,105.0,64.19455525834961,-10.194555258349624,True,Background
Festival,Poisson,8,38,3242,145.0,98.04392840647051,-19.04392840647052,True,Background
Festival,Poisson,8,39,3453,145.0,152.26947971264576,,True,Background
Festival,Poisson,8,40,3560,,347.3223175187804,,False,Background
Festival,Poisson,9,1,13,85.0,97.09140742613882,4.908592573861181,True,Background
Festival,Poisson,9,2,205,115.0,209.266276569536,-90.26627656953602,True,Background
Festival,Poisson,9,3,267,135.0,124.17427037791776,123.82572962208224,True,Background
Festival,Poisson,9,4,403,120.0,68.09940283767901,-23.09940283767901,True,Background
Festival,Poisson,9,5,446,85.0,89.05284849364863,-2.05284849364864,True,Background
Festival,Poisson,9,6,586,65.0,100.30580831680312,-145.3058083168031,True,Background
Festival,Poisson,9,7,660,155.0,228.36554005644768,-78.36554005644768,True,Background
Festival,Poisson,9,8,706,115.0,107.3123355026512,28.68766449734881,True,Background
Festival,Poisson,9,9,748,145.0,146.39285142564745,27.60714857435255,True,Background
Festival,Poisson,9,10,970,45.0,43.25869948453976,-63.25869948453976,True,Background
Festival,Poisson,9,11,1141,457.0,110.36268027338392,764.637319726616,True,Background
Festival,Poisson,9,12,1206,45.0,67.15633938829964,-45.15633938829967,True,Background
Festival,Poisson,9,13,1233,95.0,106.11953278843713,-71.11953278843711,True,Background
Festival,Poisson,9,14,1300,25.0,0.0791033591590383,374.92089664084097,True,Background
Festival,Poisson,9,15,1400,75.0,42.285185612889954,-55.28518561288996,True,Background
Festival,Poisson,9,16,1484,155.0,221.2863366764879,2.713663323512108,True,Background
Festival,Poisson,9,20,1565,280.0,366.9458505338203,-60.330231006383656,True,Background
Festival,Poisson,9,27,1690,355.0,379.80717320445046,24.80844632298616,True,Background
Festival,Poisson,9,28,1717,120.0,97.99167388846604,122.00832611153396,True,Background
Festival,Poisson,9,30,1865,55.0,43.2078006869877,-27.207800686987696,True,Background
Festival,Poisson,9,31,1896,95.0,75.24681619219399,-64.24681619219399,True,Background
