Scenario,Condition,Seed,Group,N_rows,N_success,MeanWait,MedianWait,P95Wait,Gini,TargetRequestedN,TargetSuccessN,TargetFailedN,TargetComplete10,SuccessRate
Holiday,Uniform,21,Background,43,42,176.23809523809524,150.0,392.2499999999998,0.320447498102186,10,10,0,1,0.9767441860465116
Holiday,Uniform,22,Background,53,48,173.97916666666666,145.0,341.85,0.3475906079112282,10,6,4,1,0.9056603773584906
Holiday,Uniform,23,Background,40,38,161.97368421052633,155.0,331.7499999999998,0.3380435247338492,10,10,0,1,0.95
Holiday,Uniform,24,Background,37,35,135.68571428571428,105.0,322.7,0.3419546972294919,10,10,0,1,0.9459459459459459
Holiday,Uniform,25,Background,42,41,165.8048780487805,135.0,458.0,0.4010935784556433,10,10,0,1,0.9761904761904762
Holiday,Uniform,26,Background,43,36,150.69444444444446,145.0,265.0,0.2581310803891449,10,10,0,1,0.8372093023255814
Holiday,Uniform,27,Background,38,38,177.23684210526315,140.0,474.19999999999993,0.391118665260032,10,10,0,1,1.0
Holiday,Uniform,28,Background,39,38,132.55263157894737,120.0,267.25,0.3493464154728691,10,10,0,1,0.9743589743589743
Holiday,Uniform,29,Background,35,28,177.0,166.0,313.65,0.3163265306122449,10,10,0,1,0.8
Holiday,Uniform,30,Background,38,36,145.33333333333334,115.0,366.75,0.365995582738702,10,10,0,1,0.9473684210526315
Holiday,Uniform,31,Background,46,39,163.48717948717947,140.0,419.5,0.3392207959334685,10,10,0,1,0.8478260869565217
Holiday,Uniform,32,Background,44,43,177.6279069767442,165.0,409.19999999999993,0.3021124487720516,10,10,0,1,0.9772727272727273
Holiday,Uniform,33,Background,44,38,138.1315789473684,130.0,334.75,0.315022410283663,10,10,0,1,0.8636363636363636
Holiday,Uniform,34,Background,47,42,150.4047619047619,155.0,239.49999999999997,0.2612941646501881,10,10,0,1,0.8936170212765957
Holiday,Uniform,35,Background,34,34,132.11764705882354,120.0,238.5,0.318671101566183,10,10,0,1,1.0
Holiday,Uniform,36,Background,48,45,130.51111111111112,100.0,296.9999999999999,0.3626615207068127,10,9,1,1,0.9375
Holiday,Uniform,37,Background,48,43,126.18604651162792,115.0,321.8,0.3466513513745189,10,10,0,1,0.8958333333333334
Holiday,Uniform,38,Background,45,37,155.75675675675674,125.0,433.7999999999999,0.4047347712105651,10,10,0,1,0.8222222222222222
Holiday,Uniform,39,Background,56,54,176.75925925925927,135.0,453.4999999999996,0.363923326154861,10,8,2,1,0.9642857142857143
Holiday,Uniform,40,Background,34,31,149.93548387096774,125.0,280.0,0.2399922269724057,10,10,0,1,0.9117647058823529
Holiday,Uniform,41,Background,46,43,162.0,135.0,398.9999999999999,0.3287128845088102,10,10,0,1,0.9347826086956522
Holiday,Uniform,42,Background,59,55,174.5090909090909,151.0,435.6999999999999,0.3497054310557124,10,9,1,1,0.9322033898305084
Holiday,Uniform,43,Background,40,38,160.0,140.0,384.0,0.3162828947368421,10,10,0,1,0.95
Holiday,Uniform,44,Background,45,37,140.51351351351352,115.0,269.9999999999999,0.3378196430706529,10,10,0,1,0.8222222222222222
Holiday,Uniform,45,Background,42,35,157.62857142857143,135.0,375.6999999999999,0.3448872316735286,10,10,0,1,0.8333333333333334
Holiday,Uniform,46,Background,28,26,120.6153846153846,110.0,230.0,0.3402668759811617,10,10,0,1,0.9285714285714286
Holiday,Uniform,47,Background,41,37,128.32432432432432,105.0,257.5999999999999,0.3455679774129648,10,10,0,1,0.9024390243902439
Holiday,Uniform,48,Background,54,50,144.54,90.0,436.64999999999975,0.4169724643697246,10,10,0,1,0.9259259259259259
Holiday,Uniform,49,Background,40,37,151.67567567567568,125.0,365.5999999999998,0.3331856446610545,10,10,0,1,0.925
Holiday,Uniform,50,Background,38,37,131.40540540540542,105.0,275.5999999999996,0.3371096312272783,10,10,0,1,0.9736842105263158
Holiday,Uniform,51,Background,30,28,132.07142857142858,105.0,341.79999999999967,0.3219307733910221,10,10,0,1,0.9333333333333333
