Scenario,Condition,Seed,Group,N_rows,N_success,MeanWait,MedianWait,P95Wait,Gini,TargetRequestedN,TargetSuccessN,TargetFailedN,TargetComplete10,SuccessRate
Lunch,Poisson,29,Total,45,39,156.05128205128204,105.0,451.4,0.4236204150762153,10,10,0,1,0.8666666666666667
Lunch,Poisson,30,Total,48,46,131.65217391304347,122.5,252.0,0.2897880650163689,10,10,0,1,0.9583333333333334
Lunch,Poisson,31,Total,56,53,167.28301886792454,140.0,384.19999999999993,0.3266879195059353,10,10,0,1,0.9464285714285714
Lunch,Poisson,32,Total,54,54,198.7037037037037,165.0,440.5999999999999,0.327178903040972,10,10,0,1,1.0
Lunch,Poisson,33,Total,54,49,157.18367346938774,135.0,313.6,0.3329641386546829,10,10,0,1,0.9074074074074074
Lunch,Poisson,34,Total,57,52,155.76923076923077,158.5,295.0,0.2798670465337132,10,10,0,1,0.9122807017543859
Lunch,Poisson,35,Total,44,43,115.32558139534883,115.0,211.99999999999997,0.260527019232122,10,10,0,1,0.9772727272727273
Lunch,Poisson,36,Total,58,56,136.33928571428572,130.0,253.75,0.3095074375526241,10,10,0,1,0.9655172413793104
Lunch,Poisson,37,Total,58,51,145.52941176470588,121.0,348.0,0.3944394249211406,10,10,0,1,0.8793103448275862
Lunch,Poisson,38,Total,55,47,123.65957446808513,105.0,265.0,0.3837987436118961,10,10,0,1,0.8545454545454545
Lunch,Poisson,39,Total,66,62,183.16129032258064,155.0,454.6499999999999,0.3398288811371564,10,10,0,1,0.9393939393939394
Lunch,Poisson,40,Total,44,41,154.09756097560975,145.0,255.0,0.1870922412927833,10,10,0,1,0.9318181818181818
Lunch,Poisson,41,Total,56,51,151.7058823529412,125.0,358.0,0.3361033181529042,10,10,0,1,0.9107142857142857
Lunch,Poisson,42,Total,69,68,144.47058823529412,125.0,337.1499999999999,0.365581289519065,10,10,0,1,0.9855072463768116
Lunch,Poisson,43,Total,50,47,181.1489361702128,125.0,469.49999999999966,0.4106178059666431,10,10,0,1,0.94
Lunch,Poisson,44,Total,55,52,155.57692307692307,130.0,334.49999999999994,0.3511695350385091,10,10,0,1,0.9454545454545454
Lunch,Poisson,45,Total,52,49,148.69387755102042,100.0,375.9999999999998,0.4064154346888357,10,10,0,1,0.9423076923076923
Lunch,Poisson,46,Total,38,36,176.22222222222223,115.0,451.25,0.3998353649992994,10,10,0,1,0.9473684210526315
Lunch,Poisson,47,Total,51,46,143.3695652173913,120.0,385.5,0.3836206612387513,10,10,0,1,0.9019607843137255
Lunch,Poisson,48,Total,64,61,158.7704918032787,117.0,454.0,0.4005653494926242,10,10,0,1,0.953125
Lunch,Poisson,49,Total,50,47,152.85106382978722,135.0,325.2999999999999,0.3161398853243615,10,10,0,1,0.94
Lunch,Poisson,50,Total,48,47,148.0,115.0,368.19999999999953,0.3509170102651316,10,10,0,1,0.9791666666666666
Lunch,Poisson,51,Total,40,39,135.56410256410257,105.0,382.80000000000007,0.3230953524125455,10,10,0,1,0.975
Lunch,Poisson,52,Total,49,42,133.02380952380952,130.0,219.75,0.2624331995192922,10,10,0,1,0.8571428571428571
Lunch,Poisson,53,Total,46,44,141.79545454545453,121.5,297.35,0.3485734893412406,10,10,0,1,0.9565217391304348
Lunch,Poisson,54,Total,41,38,112.10526315789474,105.0,225.04999999999995,0.3157276995305164,10,10,0,1,0.926829268292683
Lunch,Poisson,55,Total,50,45,131.75555555555556,105.0,346.19999999999953,0.3241693371563501,10,8,2,1,0.9
Lunch,Poisson,56,Total,43,39,140.12820512820514,110.0,316.4000000000001,0.367400943064255,10,10,0,1,0.9069767441860465
Lunch,Poisson,57,Total,52,47,144.87234042553192,115.0,345.6999999999998,0.3316011661661818,10,10,0,1,0.9038461538461539
Lunch,Poisson,58,Total,60,53,151.18867924528303,115.0,380.4,0.3761999957616043,10,10,0,1,0.8833333333333333
Lunch,Poisson,59,Total,40,39,146.17948717948718,105.0,308.50000000000006,0.3511754572971903,10,10,0,1,0.975
Lunch,Poisson,60,Total,56,54,158.90740740740742,125.0,397.6499999999999,0.3637601591802734,10,10,0,1,0.9642857142857143
Lunch,Poisson,61,Total,51,49,144.42857142857142,125.0,264.19999999999993,0.3205612893737402,10,10,0,1,0.9607843137254902
